site_name,site_no,structure,structure_id,structure_no,structure_sp,dbh,decay,vexar,planter,recorder,photo_no,tag_id,measurement_id,height,height_2,rcd,rcd_2,azimuth,dist,log_ht,status,herbiv,comp_sp,comp_dist,comp_ht,grass,forb,shrub,rock,cwd,litter,bare_soil,moss,root,other,cvr_total,notes
Horton,1,open,3325,25,,,,0,JL,"KBK, CAE",A2304,2493,2493-01,15,,3,,,,,,,,,,5,12,,10,3,48,22,,,,100,
Horton,1,open,3325,25,,,,0,JL,"KBK, CAE",A2304,2208,2208-01,14,,4,,,,,,,,,,,9,,8,,60,23,,,,100,
Horton,1,open,3325,25,,,,0,JL,"KBK, CAE",A2304,2499,2499-01,14,,3,,,,,,,,,,,29,,12,4,40,15,,,,100,
Horton,1,open,3325,25,,,,0,JL,"KBK, CAE",A2304,2286,2286-01,21,,3,,,,,,,,,,6,10,,11,3,58,12,,,,100,
Horton,1,open,3326,26,,,,1,SK,"IM, SK",B1701,2325,2325-01,18,,3,,,,,,,,,,,,,15,10,40,30,5,,,100,
Horton,1,open,3326,26,,,,1,SK,"IM, SK",B1701,2326,2326-01,14.5,,3,,,,,,,,,,,5,,15,,50,20,10,,,100,
Horton,1,open,3326,26,,,,1,SK,"IM, SK",B1701,2305,2305-01,14.5,,3,,,,,,,,,,30,2,,15,,33,20,,,,100,
Horton,1,open,3326,26,,,,1,SK,"IM, SK",B1701,2353,2353-01,16,,3.5,,,,,,,,,,8,,,20,,15,10,47,,,100,
Horton,1,open,3327,27,,,,0,IM,"KBK, CAE",A2299,2273,2273-01,23,,4,,,,,,,,,,7,17,,6,2,53,15,,,,100,
Horton,1,open,3327,27,,,,0,IM,"KBK, CAE",A2299,2454,2454-01,25,,4,,,,,,,,,,,4,,10,3,78,5,,,,100,
Horton,1,open,3327,27,,,,0,IM,"KBK, CAE",A2299,2271,2271-01,33,,4,,,,,,,,,,,25,,8,7,50,10,,,,100,
Horton,1,open,3327,27,,,,0,IM,"KBK, CAE",A2299,2466,2466-01,26,,4,,,,,,,,,,4,25,1,7,6,53,4,,,,100,
Horton,1,open,3329,29,,,,0,JL,"KBK, CAE",A2300,2465,2465-01,25,,4,,,,,,,,,,10,24,3,6,,54,3,,,,100,
Horton,1,open,3329,29,,,,0,JL,"KBK, CAE",A2300,2267,2267-01,23,,5,,,,,,,,,,1,30,10,2,3,44,10,,,,100,
Horton,1,open,3329,29,,,,0,JL,"KBK, CAE",A2300,2462,2462-01,20,,5,,,,,,,,,,13,50,,5,2,27,3,,,,100,
Horton,1,open,3329,29,,,,0,JL,"KBK, CAE",A2300,2266,2266-01,23,,4,,,,,,,,,,10,14,5,10,,54,7,,,,100,
Horton,1,open,3330,30,,,,0,JL,"KBK, CAE",A2283,2114,2114-01,18,,3,,,,,,,,,,,30,,5,8,45,12,,,,100,
Horton,1,open,3330,30,,,,0,JL,"KBK, CAE",A2283,2140,2140-01,10,,4,,,,,,,,,,14,12,,24,2,36,12,,,,100,
Horton,1,open,3330,30,,,,0,JL,"KBK, CAE",A2283,2128,2128-01,24,,3,,,,,,,,,,1,18,5,2,9,40,25,,,,100,
Horton,1,open,3330,30,,,,0,JL,"KBK, CAE",A2283,2139,2139-01,24,,4,,,,,,,,,,,2,3,,5,86,4,,,,100,
Horton ,1,snag,3101,1,PSME,25,2,0,UNK,"IM, SK",B1695,2504,2504-01,25.5,,4,,290,19,,,,,,,2,5,,4,,34,5,,,,50,
Horton ,1,snag,3101,1,PSME,25,2,0,UNK,"IM, SK",B1695,2378,2378-01,25,,3.5,,350,13,,,,,,,8,2,,4,8,13,5,10,,,50,
Horton ,1,snag,3101,1,PSME,25,2,0,UNK,"IM, SK",B1695,2373,2373-01,19,,4,,100,15.5,,,,,,,35,10,,1,,4,,,,,50,
Horton ,1,snag,3101,1,PSME,25,2,0,UNK,"IM, SK",B1695,2336,2336-01,22.5,,3.5,,300,17.5,,,,,,,5,8,,,,25,12,,,,50,
Horton ,1,snag,3102,2,PSME,34,1,1,JL,"KBK, CAE",A2277,2173,2173-01,23.5,,3,,350,16,,,,POTR,135,26,1,3,,13,,13,20,,,,50,
