Site_Info,,Structure_Info,,,,,,,,,Seedling_Info,,,,,,Competition,,,Cover,,,,,,,,,,,
SITE_NAME,SITE_NO,STRUCTURE_TYPE,STRUCTURE_NO,STRUCTURE_SP,DBH,DECAY_CLASS,VEXAR,PLANTER_NAME,RECORDER_NAME,PHOTO_NO,TAG_ID,HEIGHT,RCD,AZIMUTH,DIST,LOG_HT,SPECIES,DIST,HEIGHT,GRASS,FORB,SHRUB,ROCK,CWD,LITTER,BARE_SOIL,MOSS,SNAG/ROOT,OTHER,TOTAL,NOTES
Horton,1,3,29,,,,0,JL,"KBK, CAE",A2300,2462,20,5,,,,,,,13,50,,5,2,27,3,,,,100,
Horton,1,3,29,,,,0,JL,"KBK, CAE",A2300,2266,23,4,,,,,,,10,14,5,10,,54,7,,,,100,
Horton,1,3,30,,,,0,JL,"KBK, CAE",A2283,2114,18,3,,,,,,,,30,,5,8,45,12,,,,100,
Horton,1,3,30,,,,0,JL,"KBK, CAE",A2283,2140,10,4,,,,,,,14,12,,24,2,36,12,,,,100,
Horton,1,3,30,,,,0,JL,"KBK, CAE",A2283,2128,24,3,,,,,,,1,18,5,2,9,40,25,,,,100,
Horton,1,3,30,,,,0,JL,"KBK, CAE",A2283,2139,24,4,,,,,,,,2,3,,5,86,4,,,,100,
Horton ,1,1,2,PSME,34,1,1,JL,"KBK, CAE",A2277,2173,23.5,3,350,16,,POTR,135,26,1,3,,13,,13,20,,,,50,
Horton ,1,1,2,PSME,34,1,1,JL,"KBK, CAE",A2277,2182,27,5,210,13,,POTR,135,26,1,,,8,10,19,12,,,,50,
Horton ,1,1,2,PSME,34,1,1,JL,"KBK, CAE",A2277,2184,19.5,4,180,16.5,,POTR,50,10,1,,1,13,,15,20,,,,50,
Horton ,1,1,2,PSME,34,1,1,JL,"KBK, CAE",A2277,2174,30,5,70,12,,POTR,65,10,1,1,,5,,12,31,,,,50,
Horton ,1,1,27,PSME,45.5,1,1,JL,"JL, CAE",A2307/A2306,2281,29,4,330,11.5,,,,,,13,,8,1,23,5,,,,50,
Horton ,1,1,27,PSME,45.5,1,1,JL,"JL, CAE",A2307/A2307,2278,27.5,4,20,12,,,,,4,12,,5,,24,5,,,,50,
Horton ,1,1,27,PSME,45.5,1,1,JL,"JL, CAE",A2307/A2308,2324,17,3,100,15,,,,,20,12,,2,1,15,,,,,50,
Horton ,1,1,27,PSME,45.5,1,1,JL,"JL, CAE",A2307/A2309,2304,24,4,260,13,,,,,,19,,3,7,20,1,,,,50,
Horton ,1,1,23,PSME,25,2,1,IM,"IM, SK",B1716,2230,27,5,170,27,,,,,4,2,,8,,36,,,,,50,
