tag_id,measurement_type,date,height,rcd,site_name,structure_no,structure_type,recorder,status,herbivory
2456,,,28,4,Horton ,6,2,"JL, CAE",,
2103,,,21,6,Horton ,7,2,"KBK, CAE",,
2116,,,12,7,Horton ,7,2,"KBK, CAE",,
2117,,,28,5,Horton ,7,2,"KBK, CAE",,
2124,,,25,3,Horton ,7,2,"KBK, CAE",,
2156,,,26,4,Horton ,8,2,"JL, SK",,
2169,,,22.5,4.5,Horton ,8,2,"JL, SK",,
2155,,,20.5,5,Horton ,8,2,"JL, SK",,
2167,,,24,4.5,Horton ,8,2,"JL, SK",,
2470,,,29,5,Horton ,9,2,"KBK, CAE",,
2464,,,27,4,Horton ,9,2,"KBK, CAE",,
2463,,,28,4,Horton ,9,2,"KBK, CAE",,
2277,,,23,3,Horton ,9,2,"KBK, CAE",,
2245,,,16,4,Horton ,10,2,"JL, SK",,
2234,,,20,4.5,Horton ,10,2,"JL, SK",,
2240,,,21,3.5,Horton ,10,2,"JL, SK",,
2224,,,14,3.5,Horton ,10,2,"JL, SK",,
2126,,,35,5,Horton ,11,2,"KBK, CAE",,
2123,,,24,4,Horton ,11,2,"KBK, CAE",,
2125,,,30,3,Horton ,11,2,"KBK, CAE",,
2111,,,25.5,5,Horton ,11,2,"KBK, CAE",,
2161,,,14,3.5,Horton ,12,2,"JL, SK",,
2201,,,22,3.5,Horton ,12,2,"JL, SK",,
2160,,,18.5,3.5,Horton ,12,2,"JL, SK",,
2153,,,25,4.5,Horton ,12,2,"JL, SK",,
2152,,,23.5,4,Horton ,13,2,"JL, SK",,
2144,,,22,3,Horton ,13,2,"JL, SK",,
2170,,,20,4.5,Horton ,13,2,"JL, SK",,
2147,,,27,4.5,Horton ,13,2,"JL, SK",,
2180,,,23,3,Horton ,14,2,"KBK, CAE",,
2195,,,28,5,Horton ,14,2,"KBK, CAE",,
2193,,,27,5,Horton ,14,2,"KBK, CAE",,
2186,,,18,3,Horton ,14,2,"KBK, CAE",,
2467,,,24,4,Horton ,15,2,"KBK, CAE",,
2472,,,18,4,Horton ,15,2,"KBK, CAE",,
2468,,,22,5,Horton ,15,2,"KBK, CAE",,
2272,,,25,5,Horton ,15,2,"KBK, CAE",,
